Ensembl Gene ID	Associated Gene Name	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]
ENSMUSG00000021313	Ryr2	NM_023868	
ENSMUSG00000054766	Set	NM_023871	
ENSMUSG00000028033	Kcnq5	NM_023872	
ENSMUSG00000056267	Cep70	NM_023873	
ENSMUSG00000027167	Elp4	NM_023876	
ENSMUSG00000035278	Plekhj1	NM_023900	
ENSMUSG00000020305	Asb3	NM_023906	
ENSMUSG00000025790	Slco3a1	NM_023908	
ENSMUSG00000029723	Tsc22d4	NM_023910	
ENSMUSG00000024941	Scyl1	NM_023912	
ENSMUSG00000020715	Ern1	NM_023913	
ENSMUSG00000004698	Hdac9	NM_024124	
ENSMUSG00000070493	Chchd2	NM_024166	
ENSMUSG00000035585	Tsen34	NM_024168	
ENSMUSG00000003355	Fkbp11	NM_024169	
ENSMUSG00000067925	Cxx1a	NM_024170	
ENSMUSG00000053317	Sec61b	NM_024171	
ENSMUSG00000063802	Hspbp1	NM_024172	
ENSMUSG00000039105	Atp6v1g1	NM_024173	
ENSMUSG00000023723	Mrps23	NM_024174	
ENSMUSG00000098375	Mrps23	NM_024174	
ENSMUSG00000024914	Drap1	NM_024176	
ENSMUSG00000020775	Mrpl38	NM_024177	
ENSMUSG00000039887	Alg14	NM_024178	
ENSMUSG00000024442	0610009O20Rik	NM_024179	
ENSMUSG00000025353	Ormdl2	NM_024180	
ENSMUSG00000027006	Dnajc10	NM_024181	
ENSMUSG00000024404	Riok3	NM_024182	
ENSMUSG00000005470	Asf1b	NM_024184	
ENSMUSG00000026767	Fam188a	NM_024185	
ENSMUSG00000061613	U2af1	NM_024187	
ENSMUSG00000022186	Oxct1	NM_024188	
ENSMUSG00000022634	Yaf2	NM_024189	
ENSMUSG00000031776	Arl2bp	NM_024191	
ENSMUSG00000027405	Nop56	NM_024193	
ENSMUSG00000063052	Lrrc40	NM_024194	
ENSMUSG00000032872	Cyb5r4	NM_024195	
ENSMUSG00000027465	Tbc1d20	NM_024196	
ENSMUSG00000026260	Ndufa10	NM_024197	
ENSMUSG00000028597	Gpx7	NM_024198	
ENSMUSG00000027498	Cstf1	NM_024199	
ENSMUSG00000027668	Mfn1	NM_024200	
ENSMUSG00000014763	Fam120b	NM_024203	
ENSMUSG00000005078	Jkamp	NM_024205	
ENSMUSG00000030298	Sec13	NM_024206	
ENSMUSG00000022365	Derl1	NM_024207	
ENSMUSG00000026753	Ppp6c	NM_024209	
ENSMUSG00000020441	2310033P09Rik	NM_024210	
ENSMUSG00000014606	Slc25a11	NM_024211	
ENSMUSG00000032399	Rpl4	NM_024212	
ENSMUSG00000029176	Anapc4	NM_024213	
ENSMUSG00000093904	Tomm20	NM_024214	
ENSMUSG00000028840	Zfp593	NM_024215	
ENSMUSG00000029464	Gpn3	NM_024216	
ENSMUSG00000031875	Cmtm3	NM_024217	
ENSMUSG00000098274	Rpl24	NM_024218	
ENSMUSG00000031839	Hsbp1	NM_024219	
ENSMUSG00000030647	Ndufc2	NM_024220	
ENSMUSG00000021748	Pdhb	NM_024221	
ENSMUSG00000032437	Stt3b	NM_024222	
ENSMUSG00000006356	Crip2	NM_024223	
ENSMUSG00000027423	Snx5	NM_024225	
ENSMUSG00000024181	Mrpl28	NM_024227	
ENSMUSG00000025137	Pcyt2	NM_024229	
ENSMUSG00000024792	Zfpl1	NM_024231	
ENSMUSG00000032026	Rexo2	NM_024233	
ENSMUSG00000015806	Qdpr	NM_024236	
ENSMUSG00000006906	Stambp	NM_024239	
ENSMUSG00000031546	Gins4	NM_024240	
ENSMUSG00000021428	Riok1	NM_024242	
ENSMUSG00000028673	Fuca1	NM_024243	
ENSMUSG00000032254	Kif23	NM_024245	
ENSMUSG00000056228	Cars2	NM_024248	
ENSMUSG00000023883	Phf10	NM_024250	
ENSMUSG00000027132	Katnbl1	NM_024254	
ENSMUSG00000028383	Hsdl2	NM_024255	
ENSMUSG00000071649	B3gat3	NM_024256	
ENSMUSG00000025616	Usp16	NM_024258	
ENSMUSG00000001376	Ccdc132	NM_024260	
ENSMUSG00000061759	1700052N19Rik	NM_024261	
ENSMUSG00000020495	Smg8	NM_024262	
ENSMUSG00000029070	Mxra8	NM_024263	
ENSMUSG00000026170	Cyp27a1	NM_024264	
ENSMUSG00000009927	Rps25	NM_024266	
ENSMUSG00000002319	Ipo4	NM_024267	
ENSMUSG00000031776	Arl2bp	NM_024269	
ENSMUSG00000003062	Stard3nl	NM_024270	
ENSMUSG00000003992	Ssbp2	NM_024272	
ENSMUSG00000002846	Timmdc1	NM_024273	
ENSMUSG00000021420	Fars2	NM_024274	
ENSMUSG00000020460	Rps27a	NM_024277	
ENSMUSG00000027422	Rrbp1	NM_024281	
ENSMUSG00000026502	Desi2	NM_024282	
ENSMUSG00000071317	Bves	NM_024285	
ENSMUSG00000019848	Popdc3	NM_024286	
ENSMUSG00000030704	Rab6a	NM_024287	
ENSMUSG00000002222	Rmnd5a	NM_024288	
ENSMUSG00000037606	Osbpl5	NM_024289	
ENSMUSG00000062515	Fabp4	NM_024406	
ENSMUSG00000062270	Morf4l1	NM_024431	
ENSMUSG00000019578	Ubxn6	NM_024432	
ENSMUSG00000062937	Mtap	NM_024433	
ENSMUSG00000039682	Lap3	NM_024434	
ENSMUSG00000019890	Nts	NM_024435	
ENSMUSG00000027519	Rab22a	NM_024436	
ENSMUSG00000027001	Dusp19	NM_024438	
ENSMUSG00000075701	Vimp	NM_024439	
ENSMUSG00000038086	Hspb2	NM_024441	
ENSMUSG00000048440	Cyp4f16	NM_024442	
ENSMUSG00000023460	Rab12	NM_024448	
ENSMUSG00000001494	Sost	NM_024449	
ENSMUSG00000036817	Sun1	NM_024451	
ENSMUSG00000001089	Luzp1	NM_024452	
ENSMUSG00000020132	Rab21	NM_024454	
ENSMUSG00000019173	Rab5c	NM_024456	
ENSMUSG00000052681	Rap1b	NM_024457	
ENSMUSG00000033953	Ppp3r1	NM_024459	
ENSMUSG00000038803	Ost4	NM_024460	
ENSMUSG00000054091	1810037I17Rik	NM_024461	
ENSMUSG00000028643	Ccdc23	NM_024462	
ENSMUSG00000032046	Abhd12	NM_024465	
ENSMUSG00000046556	Zfp319	NM_024467	
ENSMUSG00000030256	Bhlhe41	NM_024469	
ENSMUSG00000029199	Lias	NM_024471	
ENSMUSG00000029073	Cptp	NM_024472	
ENSMUSG00000019132	BC005537	NM_024473	
ENSMUSG00000004415	Col26a1	NM_024474	
ENSMUSG00000041231	Ublcp1	NM_024475	
ENSMUSG00000029198	Grpel1	NM_024478	
ENSMUSG00000004937	Sgta	NM_024499	
ENSMUSG00000015575	Atp6v0e	NM_025272	
ENSMUSG00000020098	Pcbd1	NM_025273	
ENSMUSG00000020610	Amz2	NM_025275	
ENSMUSG00000038607	Gng10	NM_025277	
ENSMUSG00000036402	Gng12	NM_025278	
ENSMUSG00000021546	Hnrnpk	NM_025279	
ENSMUSG00000037262	Kin	NM_025280	
ENSMUSG00000067367	Lyar	NM_025281	
ENSMUSG00000025979	Mob4	NM_025283	
ENSMUSG00000079523	Tmsb10	NM_025284	
ENSMUSG00000066152	Slc31a2	NM_025286	
ENSMUSG00000057522	Spop	NM_025287	
ENSMUSG00000011114	Tbrg1	NM_025289	
ENSMUSG00000006050	Sra1	NM_025291	
ENSMUSG00000090935	Synj2bp	NM_025292	
ENSMUSG00000018931	Natd1	NM_025294	
ENSMUSG00000021900	Btd	NM_025295	
ENSMUSG00000003662	Ciao1	NM_025296	
ENSMUSG00000028910	Mecr	NM_025297	
ENSMUSG00000030880	Polr3e	NM_025298	
ENSMUSG00000057130	Txnl4a	NM_025299	
ENSMUSG00000033845	Mrpl15	NM_025300	
ENSMUSG00000030879	Mrpl17	NM_025301	
ENSMUSG00000002767	Mrpl2	NM_025302	
ENSMUSG00000030763	Lcmt1	NM_025304	
ENSMUSG00000046756	Mrps7	NM_025305	
ENSMUSG00000020706	Ftsj3	NM_025310	
ENSMUSG00000003072	Atp5d	NM_025313	
ENSMUSG00000027430	Dtd1	NM_025314	
ENSMUSG00000030291	Med21	NM_025315	
ENSMUSG00000027673	Ndufb5	NM_025316	
ENSMUSG00000034932	Mrpl54	NM_025317	
ENSMUSG00000047260	Emc6	NM_025318	
ENSMUSG00000007777	0610009B22Rik	NM_025319	
ENSMUSG00000058076	Sdhc	NM_025321	
ENSMUSG00000037361	Sf3b6	NM_025323	
ENSMUSG00000051184	Zfp524	NM_025324	
ENSMUSG00000023367	Tmem176a	NM_025326	
ENSMUSG00000042747	Krtcap2	NM_025327	
ENSMUSG00000014075	Tctex1d2	NM_025329	
ENSMUSG00000032766	Gng11	NM_025331	
ENSMUSG00000022668	Gtpbp8	NM_025332	
ENSMUSG00000024668	Sdhaf2	NM_025333	
ENSMUSG00000028567	Txndc12	NM_025334	
ENSMUSG00000012422	Tmem167	NM_025335	
ENSMUSG00000053768	Chchd3	NM_025336	
ENSMUSG00000028743	Akr7a5	NM_025337	
ENSMUSG00000065990	Aurkaip1	NM_025338	
ENSMUSG00000066233	Tmem42	NM_025339	
ENSMUSG00000022552	Sharpin	NM_025340	
ENSMUSG00000019763	Rmnd1	NM_025343	
ENSMUSG00000031029	Eif3f	NM_025344	
ENSMUSG00000022677	Fopnl	NM_025345	
ENSMUSG00000001054	Rmnd5b	NM_025346	
ENSMUSG00000042675	Ypel3	NM_025347	
ENSMUSG00000035674	Ndufa3	NM_025348	
ENSMUSG00000035215	Lsm7	NM_025349	
ENSMUSG00000030086	Chchd6	NM_025351	
ENSMUSG00000044894	Uqcrq	NM_025352	
ENSMUSG00000078578	Ube2d3	NM_025356	
ENSMUSG00000000399	Ndufa9	NM_025358	
ENSMUSG00000020577	Tspan13	NM_025359	
ENSMUSG00000032353	Tmed3	NM_025360	
ENSMUSG00000061118	Dnajc30	NM_025362	
ENSMUSG00000019689	1110001J03Rik	NM_025363	
ENSMUSG00000078427	Sarnp	NM_025364	
ENSMUSG00000033475	Tomm6	NM_025365	
ENSMUSG00000063787	Chchd1	NM_025366	
ENSMUSG00000038695	Josd2	NM_025368	
ENSMUSG00000061474	Mrps36	NM_025369	
ENSMUSG00000021482	Aaed1	NM_025370	
ENSMUSG00000023262	Acy1	NM_025371	
ENSMUSG00000032397	Tipin	NM_025372	
ENSMUSG00000021023	1110008L16Rik	NM_025373	
ENSMUSG00000024026	Glo1	NM_025374	
ENSMUSG00000005378	Wbscr22	NM_025375	
ENSMUSG00000020492	Ska2	NM_025377	
ENSMUSG00000025492	Ifitm3	NM_025378	
ENSMUSG00000031231	Cox7b	NM_025379	
ENSMUSG00000001707	Eef1e1	NM_025380	
ENSMUSG00000004285	Atp6v1f	NM_025381	
ENSMUSG00000028826	Tmem57	NM_025382	
ENSMUSG00000028923	Necap2	NM_025383	
ENSMUSG00000022013	Dnajc15	NM_025384	
ENSMUSG00000023048	Prr13	NM_025385	
ENSMUSG00000021361	Tmem14c	NM_025387	
ENSMUSG00000062963	Ufc1	NM_025388	
ENSMUSG00000025135	Anapc11	NM_025389	
ENSMUSG00000030423	Pop4	NM_025390	
ENSMUSG00000031917	Nip7	NM_025391	
ENSMUSG00000030983	Bccip	NM_025392	
ENSMUSG00000028998	Tomm7	NM_025394	
ENSMUSG00000037938	Chchd5	NM_025395	
ENSMUSG00000031807	Pgls	NM_025396	
ENSMUSG00000018923	Med11	NM_025397	
ENSMUSG00000002804	Nudt14	NM_025399	
ENSMUSG00000015542	Nat9	NM_025400	
ENSMUSG00000084786	Ubl5	NM_025401	
ENSMUSG00000025169	Ogfod3	NM_025402	
ENSMUSG00000027133	Nop10	NM_025403	
ENSMUSG00000034936	Arl4d	NM_025404	
ENSMUSG00000025651	Uqcrc1	NM_025407	
ENSMUSG00000030760	Acer3	NM_025408	
ENSMUSG00000090000	Ier3ip1	NM_025409	
ENSMUSG00000015289	Lage3	NM_025410	
ENSMUSG00000028669	Pithd1	NM_025411	
ENSMUSG00000022571	Pycrl	NM_025412	
ENSMUSG00000020527	Myo19	NM_025414	
ENSMUSG00000062248	Cks2	NM_025415	
ENSMUSG00000032299	Commd4	NM_025417	
ENSMUSG00000019868	Vta1	NM_025418	
ENSMUSG00000032551	1110059G10Rik	NM_025419	
ENSMUSG00000008822	Acyp1	NM_025421	
ENSMUSG00000060703	Cd302	NM_025422	
ENSMUSG00000035171	1110059E24Rik	NM_025423	
ENSMUSG00000037499	Nenf	NM_025424	
ENSMUSG00000052962	Mrpl35	NM_025430	
ENSMUSG00000020224	Llph	NM_025431	
ENSMUSG00000079317	Trappc2	NM_025432	
ENSMUSG00000063888	Rpl7l1	NM_025433	
ENSMUSG00000040269	Mrps28	NM_025434	
ENSMUSG00000053453	Thoc7	NM_025435	
ENSMUSG00000031604	Msmo1	NM_025436	
ENSMUSG00000067194	Eif1ax	NM_025437	
ENSMUSG00000026411	Tmem9	NM_025439	
ENSMUSG00000049960	Mrps16	NM_025440	
ENSMUSG00000020982	Nemf	NM_025441	
ENSMUSG00000036632	Alg5	NM_025442	
ENSMUSG00000020116	Pno1	NM_025443	
ENSMUSG00000048100	Taf13	NM_025444	
ENSMUSG00000054277	Arfgap3	NM_025445	
ENSMUSG00000019806	Aig1	NM_025446	
ENSMUSG00000021692	Dimt1	NM_025447	
ENSMUSG00000041355	Ssr2	NM_025448	
ENSMUSG00000032606	Nicn1	NM_025449	
ENSMUSG00000034211	Mrps17	NM_025450	
ENSMUSG00000046447	Camk2n1	NM_025451	
ENSMUSG00000026283	Ing5	NM_025454	
ENSMUSG00000028795	Ccdc28b	NM_025455	
ENSMUSG00000054302	Eapp	NM_025456	
ENSMUSG00000022270	Fam134b	NM_025459	
ENSMUSG00000030615	Tmem126a	NM_025460	
ENSMUSG00000091803	Cox16	NM_025461	
ENSMUSG00000022842	Ece2	NM_025462	
ENSMUSG00000071653	1810009A15Rik	NM_025463	
ENSMUSG00000032121	Tmem218	NM_025464	
ENSMUSG00000025591	Tma16	NM_025465	
ENSMUSG00000024516	Sec11c	NM_025468	
ENSMUSG00000028295	Smim8	NM_025471	
ENSMUSG00000031399	Fam3a	NM_025473	
ENSMUSG00000058267	Mrps14	NM_025474	
ENSMUSG00000027285	Haus2	NM_025475	
ENSMUSG00000028229	Rmdn1	NM_025476	
ENSMUSG00000024601	Isoc1	NM_025478	
ENSMUSG00000012429	Mplkip	NM_025479	
ENSMUSG00000067365	Tmem128	NM_025480	
ENSMUSG00000018363	Smurf2	NM_025481	
ENSMUSG00000000827	Tpd52l2	NM_025482	
ENSMUSG00000032459	Mrps22	NM_025485	
ENSMUSG00000014856	Tmem208	NM_025486	
ENSMUSG00000022295	Atp6v1c1	NM_025494	
ENSMUSG00000021391	Cenpp	NM_025495	
ENSMUSG00000036835	Psenen	NM_025498	
ENSMUSG00000028622	Mrpl37	NM_025500	
ENSMUSG00000057229	Atp5sl	NM_025504	
ENSMUSG00000021039	Snw1	NM_025507	
ENSMUSG00000000253	Gmpr	NM_025508	
ENSMUSG00000041084	Ostc	NM_025509	
ENSMUSG00000020910	Adprm	NM_025510	
ENSMUSG00000026500	Cox20	NM_025511	
ENSMUSG00000039795	Zfand1	NM_025512	
ENSMUSG00000028322	Exosc3	NM_025513	
ENSMUSG00000020107	Anapc16	NM_025514	
ENSMUSG00000030613	Ccdc90b	NM_025515	
ENSMUSG00000005881	Ergic3	NM_025516	
ENSMUSG00000000339	Rtca	NM_025517	
ENSMUSG00000031901	Dus2	NM_025518	
ENSMUSG00000091625	Lsm5	NM_025520	
ENSMUSG00000020133	2310011J03Rik	NM_025521	
ENSMUSG00000021094	Dhrs7	NM_025522	
ENSMUSG00000037152	Ndufc1	NM_025523	
ENSMUSG00000098134	Rnf113a2	NM_025525	
ENSMUSG00000025825	Iscu	NM_025526	
ENSMUSG00000014504	Srp19	NM_025527	
ENSMUSG00000024869	Nudt8	NM_025529	
ENSMUSG00000016257	Slmo2	NM_025531	
ENSMUSG00000003421	Nosip	NM_025533	
ENSMUSG00000020386	Sar1b	NM_025535	
ENSMUSG00000055041	Commd5	NM_025536	
ENSMUSG00000040521	Tsfm	NM_025537	
ENSMUSG00000002661	Alkbh7	NM_025538	
ENSMUSG00000028443	Nudt2	NM_025539	
ENSMUSG00000042045	Sln	NM_025540	
ENSMUSG00000019857	Asf1a	NM_025541	
ENSMUSG00000027502	Rtfdc1	NM_025542	
ENSMUSG00000042814	Mcts2	NM_025543	
ENSMUSG00000028861	Mrps15	NM_025544	
ENSMUSG00000005846	Rsl1d1	NM_025546	
ENSMUSG00000021519	Mterf3	NM_025547	
ENSMUSG00000006095	Tbcb	NM_025548	
ENSMUSG00000021737	Psmd6	NM_025550	
ENSMUSG00000020022	Ndufa12	NM_025551	
ENSMUSG00000024902	Mrpl11	NM_025553	
ENSMUSG00000004667	Polr2e	NM_025554	
ENSMUSG00000036873	2410004B18Rik	NM_025555	
ENSMUSG00000031458	Coprs	NM_025556	
ENSMUSG00000038370	Pcp4l1	NM_025557	
ENSMUSG00000031924	Cyb5b	NM_025558	
ENSMUSG00000002580	Mien1	NM_025559	
ENSMUSG00000039670	Oxld1	NM_025560	
ENSMUSG00000019054	Fis1	NM_025562	
ENSMUSG00000062376	2010012O05Rik	NM_025563	
ENSMUSG00000030188	Magohb	NM_025564	
ENSMUSG00000005233	Spc25	NM_025565	
ENSMUSG00000022551	Cyc1	NM_025567	
ENSMUSG00000026688	Mgst3	NM_025569	
ENSMUSG00000029066	Mrpl20	NM_025570	
ENSMUSG00000014301	Pam16	NM_025571	
ENSMUSG00000029538	Srsf9	NM_025573	
ENSMUSG00000043162	Pyurf	NM_025574	
ENSMUSG00000045503	Sys1	NM_025575	
ENSMUSG00000058833	2810428I15Rik	NM_025577	
ENSMUSG00000014551	Mrps25	NM_025578	
ENSMUSG00000028899	Taf12	NM_025579	
ENSMUSG00000026179	Pnkd	NM_025580	
ENSMUSG00000029059	Fam213b	NM_025582	
ENSMUSG00000012405	Rpl15	NM_025586	
ENSMUSG00000039001	Rps21	NM_025587	
ENSMUSG00000021357	Exoc2	NM_025588	
ENSMUSG00000049751	Rpl36al	NM_025589	
ENSMUSG00000057497	Fam136a	NM_025591	
ENSMUSG00000062997	Rpl35	NM_025592	
ENSMUSG00000038489	Polr2l	NM_025593	
ENSMUSG00000001383	Zmat2	NM_025594	
ENSMUSG00000030335	Mrpl51	NM_025595	
ENSMUSG00000021486	Prelid1	NM_025596	
ENSMUSG00000026032	Ndufb3	NM_025597	
ENSMUSG00000016344	Ppdpf	NM_025598	
ENSMUSG00000022748	Cmss1	NM_025599	
ENSMUSG00000074247	Dda1	NM_025600	
ENSMUSG00000019897	Ccdc59	NM_025602	
ENSMUSG00000029551	Psmg3	NM_025604	
ENSMUSG00000030842	Lamtor1	NM_025605	
ENSMUSG00000024683	Mrpl16	NM_025606	
ENSMUSG00000055850	Rnf181	NM_025607	
ENSMUSG00000022414	Tab1	NM_025609	
ENSMUSG00000024654	Asrgl1	NM_025610	
ENSMUSG00000038545	Cul7	NM_025611	
ENSMUSG00000091337	Eid1	NM_025613	
ENSMUSG00000019782	Rwdd1	NM_025614	
ENSMUSG00000031984	2810004N23Rik	NM_025615	
ENSMUSG00000003438	Timm50	NM_025616	
ENSMUSG00000028619	Tceanc2	NM_025617	
ENSMUSG00000015247	Nipsnap3b	NM_025623	
ENSMUSG00000029649	Pomp	NM_025624	
ENSMUSG00000026655	Fam107b	NM_025626	
ENSMUSG00000036751	Cox6b1	NM_025628	
ENSMUSG00000021681	Aggf1	NM_025630	
ENSMUSG00000041921	Metap1d	NM_025633	
ENSMUSG00000019923	Zwint	NM_025635	
ENSMUSG00000031851	Ntpcr	NM_025636	
ENSMUSG00000061666	Gdpd1	NM_025638	
ENSMUSG00000063882	Uqcrh	NM_025641	
ENSMUSG00000022978	Mis18a	NM_025642	
ENSMUSG00000034321	Exosc1	NM_025644	
ENSMUSG00000074088	Snrnp40	NM_025645	
ENSMUSG00000027357	Crls1	NM_025646	
ENSMUSG00000028719	Cmpk1	NM_025647	
ENSMUSG00000003808	Farsa	NM_025648	
ENSMUSG00000034509	Mad2l1bp	NM_025649	
ENSMUSG00000020163	Uqcr11	NM_025650	
ENSMUSG00000032567	Aste1	NM_025651	
ENSMUSG00000016503	Gtf3a	NM_025652	
ENSMUSG00000010362	Rdm1	NM_025654	
ENSMUSG00000060121	Gemin2	NM_025656	
ENSMUSG00000027286	Lrrc57	NM_025657	
ENSMUSG00000038150	Ormdl3	NM_025661	
ENSMUSG00000039047	Pigk	NM_025662	
ENSMUSG00000002365	Snx9	NM_025664	
ENSMUSG00000001158	Snrnp27	NM_025665	
ENSMUSG00000041712	Ubr7	NM_025666	
ENSMUSG00000028857	Tmem222	NM_025667	
ENSMUSG00000035227	Spcs2	NM_025668	
ENSMUSG00000028248	Pnisr	NM_025669	
ENSMUSG00000004071	Cdip1	NM_025670	
ENSMUSG00000022200	Golph3	NM_025673	
ENSMUSG00000057147	Dph6	NM_025675	
ENSMUSG00000027353	Mcm8	NM_025676	
ENSMUSG00000014980	Tsen15	NM_025677	
ENSMUSG00000027854	Sike1	NM_025679	
ENSMUSG00000027649	Ctnnbl1	NM_025680	
ENSMUSG00000021938	Pspc1	NM_025682	
ENSMUSG00000026005	Rpe	NM_025683	
ENSMUSG00000045672	Col27a1	NM_025685	
ENSMUSG00000031487	Brf2	NM_025686	
ENSMUSG00000032212	Sltm	NM_025690	
ENSMUSG00000036323	Srp72	NM_025691	
ENSMUSG00000032557	Uba5	NM_025692	
ENSMUSG00000022856	Tmem41a	NM_025693	
ENSMUSG00000020608	Smc6	NM_025695	
ENSMUSG00000021930	Spryd7	NM_025697	
ENSMUSG00000033184	Tmed7	NM_025698	
ENSMUSG00000035399	Oser1	NM_025699	
ENSMUSG00000029171	Pgm1	NM_025700	
ENSMUSG00000040236	Trappc5	NM_025701	
ENSMUSG00000051579	Tceal8	NM_025703	
ENSMUSG00000020130	Tbc1d15	NM_025706	
ENSMUSG00000020948	Klhl28	NM_025707	
ENSMUSG00000043140	Tmem186	NM_025708	
ENSMUSG00000026867	Gapvd1	NM_025709	
ENSMUSG00000038462	Uqcrfs1	NM_025710	
ENSMUSG00000021388	Aspn	NM_025711	
ENSMUSG00000051346	Spryd4	NM_025716	
ENSMUSG00000033760	Rbm4b	NM_025717	
ENSMUSG00000036934	4921524J17Rik	NM_025722	
ENSMUSG00000035476	Tab3	NM_025729	
ENSMUSG00000027602	Map1lc3a	NM_025735	
ENSMUSG00000022337	Emc2	NM_025736	
ENSMUSG00000028677	Rnf220	NM_025739	
ENSMUSG00000020462	Cfap36	NM_025740	
ENSMUSG00000020311	Erlec1	NM_025745	
ENSMUSG00000031631	Cfap97	NM_025747	
ENSMUSG00000019808	Adat2	NM_025748	
ENSMUSG00000029089	Pacrgl	NM_025755	
ENSMUSG00000018415	Gid4	NM_025757	
ENSMUSG00000028497	Ptplad2	NM_025760	
ENSMUSG00000027942	4933434E20Rik	NM_025762	
ENSMUSG00000038515	Grtp1	NM_025768	
ENSMUSG00000021619	Atg10	NM_025770	
ENSMUSG00000057531	Dtnbp1	NM_025772	
ENSMUSG00000025939	Ube2w	NM_025773	
ENSMUSG00000039737	Prkrip1	NM_025774	
ENSMUSG00000024604	Rbm22	NM_025776	
ENSMUSG00000020137	Thap2	NM_025780	
ENSMUSG00000053119	Chmp3	NM_025783	
ENSMUSG00000026172	Bcs1l	NM_025784	
ENSMUSG00000038365	Fbxo25	NM_025785	
ENSMUSG00000001910	Nacc1	NM_025788	
ENSMUSG00000073471	Rsph3a	NM_025789	
ENSMUSG00000006717	Acot13	NM_025790	
ENSMUSG00000010097	Nxf1	NM_025791	
ENSMUSG00000025173	Wdr45b	NM_025793	
ENSMUSG00000027809	Etfdh	NM_025794	
ENSMUSG00000029142	Mrpl33	NM_025796	
ENSMUSG00000024646	Cyb5a	NM_025797	
ENSMUSG00000019791	Hint3	NM_025798	
ENSMUSG00000019810	Fuca2	NM_025799	
ENSMUSG00000047714	Ppp1r2	NM_025800	
ENSMUSG00000001472	Tcf25	NM_025804	
ENSMUSG00000022761	Lztr1	NM_025808	
ENSMUSG00000045930	Clec14a	NM_025809	
ENSMUSG00000025078	Nhlrc2	NM_025811	
ENSMUSG00000032329	Hmg20a	NM_025812	
ENSMUSG00000027775	Mfsd1	NM_025813	
ENSMUSG00000036371	Serbp1	NM_025814	
ENSMUSG00000004535	Tax1bp1	NM_025816	
ENSMUSG00000020783	1200014J11Rik	NM_025818	
ENSMUSG00000052748	Swt1	NM_025819	
ENSMUSG00000001767	Crnkl1	NM_025820	
ENSMUSG00000008393	Carhsp1	NM_025821	
ENSMUSG00000034544	Rsrc1	NM_025822	
ENSMUSG00000029998	Pcyox1	NM_025823	
ENSMUSG00000051223	Bzw1	NM_025824	
ENSMUSG00000018481	Appbp2	NM_025825	
ENSMUSG00000030861	Acadsb	NM_025826	
ENSMUSG00000047866	Lonp2	NM_025827	
ENSMUSG00000021484	Lman2	NM_025828	
ENSMUSG00000093661	Eif4e3	NM_025829	
ENSMUSG00000031930	Wwp2	NM_025830	
ENSMUSG00000021411	Pxdc1	NM_025831	
ENSMUSG00000022020	Naa16	NM_025832	
ENSMUSG00000038859	Baiap2l1	NM_025833	
ENSMUSG00000032527	Pccb	NM_025835	
ENSMUSG00000024197	Plin3	NM_025836	
ENSMUSG00000032306	Mpi	NM_025837	
ENSMUSG00000022516	Nudt16l1	NM_025839	
ENSMUSG00000020547	Bzw2	NM_025840	
ENSMUSG00000079111	Kdelr2	NM_025841	
ENSMUSG00000059323	Tonsl	NM_025842	
ENSMUSG00000033938	Ndufb7	NM_025843	
ENSMUSG00000001774	Chordc1	NM_025844	
ENSMUSG00000027881	Prpf38b	NM_025845	
ENSMUSG00000055723	Rras2	NM_025846	
ENSMUSG00000000171	Sdhd	NM_025848	
ENSMUSG00000028398	Tmem261	NM_025849	
ENSMUSG00000047417	Rexo1	NM_025852	
ENSMUSG00000027635	Dsn1	NM_025853	
ENSMUSG00000041777	Cir1	NM_025854	
ENSMUSG00000037257	Aagab	NM_025857	
ENSMUSG00000025647	Shisa5	NM_025858	
ENSMUSG00000060904	Arl1	NM_025859	
ENSMUSG00000001674	Ddx18	NM_025860	
ENSMUSG00000031969	Acad8	NM_025862	
ENSMUSG00000034317	Trim59	NM_025863	
ENSMUSG00000026627	Tmem206	NM_025864	
ENSMUSG00000032062	2310030G06Rik	NM_025865	
ENSMUSG00000055612	Cdca7	NM_025866	
ENSMUSG00000050043	Tmx2	NM_025868	
ENSMUSG00000051238	Swsap1	NM_025870	
ENSMUSG00000030245	Golt1b	NM_025872	
ENSMUSG00000028653	Trit1	NM_025873	
ENSMUSG00000038374	Rbm8a	NM_025875	
ENSMUSG00000027487	Cdk5rap1	NM_025876	
ENSMUSG00000046329	Slc25a23	NM_025877	
ENSMUSG00000024436	Mrps18b	NM_025878	
ENSMUSG00000045411	2410002F23Rik	NM_025880	
ENSMUSG00000024188	Luc7l	NM_025881	
ENSMUSG00000030042	Pole4	NM_025882	
ENSMUSG00000024982	Zdhhc6	NM_025883	
ENSMUSG00000046010	Zfp830	NM_025884	
ENSMUSG00000027080	Med19	NM_025885	
ENSMUSG00000017831	Rab5a	NM_025887	
ENSMUSG00000005936	Kctd20	NM_025888	
ENSMUSG00000097394	TMEM134;	NM_025889	
ENSMUSG00000028949	Smarcd3	NM_025891	
ENSMUSG00000035790	Cep19	NM_025892	
ENSMUSG00000020720	Psmd12	NM_025894	
ENSMUSG00000015804	Med28	NM_025895	
ENSMUSG00000030888	Rrp8	NM_025897	
ENSMUSG00000006024	Napa	NM_025898	
ENSMUSG00000030884	Uqcrc2	NM_025899	
ENSMUSG00000021377	Dek	NM_025900	
ENSMUSG00000038628	Polr3k	NM_025901	
