# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
H3K4me3Heart_30	Cops5 (-1827), Cspp1 (+1736)
H3K4me3Heart_18203	Cdkn1a (-55288), Srsf3 (+3018)
H3K4me3Heart_18216	Pim1 (-32669), Fgd2 (+97201)
H3K4me3Heart_18221	Pim1 (+12608), Gm17657 (+16370)
H3K4me3Heart_18228	Mdga1 (-75222), Zfand3 (-41385)
H3K4me3Heart_18234	Glp1r (-27079), Dnah8 (+250434)
H3K4me3Heart_18253	Notch3 (+23348), Rrp1b (+107432)
H3K4me3Heart_18264	Wiz (-7710), Rasal3 (+6988)
H3K4me3Heart_18330	Tnxb (-9290), Atf6b (+14099)
H3K4me3Heart_18367	Cdsn (-2178)
H3K4me3Heart_18393	H2-T3 (-61985), Rpp21 (+5797)
H3K4me3Heart_18403	2410137M14Rik (-183)
H3K4me3Heart_18404	H2-M5 (+739)
H3K4me3Heart_18421	Adgrf5 (-26934), Adgrf1 (+92203)
H3K4me3Heart_18422	Adgrf5 (+453)
H3K4me3Heart_18427	Slc25a27 (-2603), Cyp39a1 (+2193)
H3K4me3Heart_18434	Supt3 (-475996), Clic5 (+112584)
H3K4me3Heart_18441	Nfkbie (-10194), Tcte1 (+22088)
H3K4me3Heart_18456	Vegfa (-52123), Mrps18a (-26494)
H3K4me3Heart_18478	Srf (-65191), Ptk7 (+8151)
H3K4me3Heart_18511	Mdfi (-29776), Foxp4 (+59968)
H3K4me3Heart_18515	1700067P10Rik (-115442), Foxp4 (-49756)
H3K4me3Heart_18520	1700067P10Rik (+7872), 9830107B12Rik (+48774)
H3K4me3Heart_18523	Apobec2 (+218)
H3K4me3Heart_18545	Kat2b (+2908), Sgo1 (+119454)
H3K4me3Heart_18559	Mpnd (-3754), Stap2 (+123)
H3K4me3Heart_18566	Plin5 (-2936)
H3K4me3Heart_18577	Ticam1 (-11091), Plin3 (+2634)
H3K4me3Heart_18601	1700061G19Rik (+8316), Mllt1 (+51620)
H3K4me3Heart_18610	Tubb4a (-8842), Tnfsf9 (-8761)
H3K4me3Heart_18618	Efna5 (+18621)
H3K4me3Heart_18622	Efna5 (-611846), Fbxl17 (+6854)
H3K4me3Heart_18628	Pja2 (-160864), Man2a1 (-107956)
H3K4me3Heart_18631	Tmem232 (-17901), Vapa (+54872)
H3K4me3Heart_18655	Epb41l3 (-51104), L3mbtl4 (+831909)
H3K4me3Heart_18658	Zbtb14 (-202310), Epb41l3 (+24720)
H3K4me3Heart_18659	Zbtb14 (-186804), Epb41l3 (+40226)
H3K4me3Heart_18666	Dlgap1 (+136826), Tgif1 (+290114)
H3K4me3Heart_18677	Myl12b (-7689), Myl12a (+4078)
H3K4me3Heart_18678	Myl12b (-9821), Myl12a (+1946)
H3K4me3Heart_18680	Myom1 (+114)
H3K4me3Heart_18681	Lpin2 (-183429), Myom1 (+1679)
H3K4me3Heart_18682	Lpin2 (-181962), Myom1 (+3146)
H3K4me3Heart_18685	Emilin2 (-21655), Smchd1 (+142723)
H3K4me3Heart_18713	Rasgrp3 (-27206), Ltbp1 (+432764)
H3K4me3Heart_18721	Eif2ak2 (-13156), Sult6b1 (+11263)
H3K4me3Heart_18725	Prkd3 (+2267), Ndufaf7 (+81414)
H3K4me3Heart_18733	Atl2 (-123205), Hnrnpll (+43101)
H3K4me3Heart_18734	Atl2 (-158647), Hnrnpll (+7659)
H3K4me3Heart_18738	Galm (+20643), Srsf7 (+58566)
H3K4me3Heart_18749	Tmem178 (-142901), Map4k3 (-73638)
H3K4me3Heart_18750	Map4k3 (-119134), Tmem178 (-97405)
H3K4me3Heart_18751	Map4k3 (-205377), Tmem178 (-11162)
H3K4me3Heart_18753	Tmem178 (+26792), Thumpd2 (+93661)
H3K4me3Heart_18756;H3K4me3Heart_18757	Slc8a1 (-83725)
H3K4me3Heart_18758	Slc8a1 (-86960)
H3K4me3Heart_18761	Eml4 (-129845), Pkdcc (+5794)
H3K4me3Heart_18764	Eml4 (-62597), Pkdcc (+73042)
H3K4me3Heart_18771	Cox7a2l (-49633), Kcng3 (+67929)
H3K4me3Heart_18772	Cox7a2l (-99659), Kcng3 (+17903)
H3K4me3Heart_18786	Six3 (-155800), Camkmt (+374437)
H3K4me3Heart_18793	Six2 (-169918), Srbd1 (+286983)
H3K4me3Heart_18796	Prkce (+18197), Gm10309 (+319250)
H3K4me3Heart_18797	Gm10309 (+67354), Prkce (+270093)
H3K4me3Heart_18798	Epas1 (-217481), Gm10309 (-31194)
H3K4me3Heart_18802	Rhoq (+5573), Pigf (+56751)
H3K4me3Heart_18808	Ttc7 (+48272), Stpg4 (+96583)
H3K4me3Heart_18813	Calm2 (-124686), Epcam (-64358)
H3K4me3Heart_18820	Msh6 (-148677), Kcnk12 (-28379)
H3K4me3Heart_18823	Fbxo11 (-297)
H3K4me3Heart_18826	Fbxo11 (-339944), Foxn2 (-35476)
H3K4me3Heart_18828	Ppp1r21 (-21078), Foxn2 (+68335)
H3K4me3Heart_18832	Gtf2a1l (-39063), Ston1 (+3042)
H3K4me3Heart_18834	Lhcgr (+38377), Gtf2a1l (+84939)
H3K4me3Heart_18835	Lhcgr (+62)
H3K4me3Heart_18852	Svil (+74181), Zfp438 (+339718)
H3K4me3Heart_18853	Svil (+75823), Zfp438 (+338076)
H3K4me3Heart_18863	4921524L21Rik (-89603), Epc1 (-23174)
H3K4me3Heart_18886	Gata6 (-266025), Mib1 (+60937)
H3K4me3Heart_18887	Gata6 (-264961), Mib1 (+62001)
H3K4me3Heart_18888	Rbbp8 (-736763), Gata6 (+2514)
H3K4me3Heart_18904	Osbpl1a (+81857), Cabyr (+118660)
H3K4me3Heart_18909	Zfp521 (+185645), Hrh4 (+780098)
H3K4me3Heart_18914	Kctd1 (+48359), Taf4b (+231978)
H3K4me3Heart_18918	Aqp4 (-227)
H3K4me3Heart_18925	Dsg2 (-4804)
H3K4me3Heart_18934	Asxl3 (-1230)
H3K4me3Heart_18959	Celf4 (-1082)
H3K4me3Heart_18974	Proc (-1412)
H3K4me3Heart_18984	Stard4 (+2025), Camk4 (+272796)
H3K4me3Heart_18990	Epb41l4a (-111596), Apc (-102182)
H3K4me3Heart_19013	Ctnna1 (-84719), Hspa9 (-79812)
H3K4me3Heart_19032	Psd2 (-51660), Cxxc5 (+83352)
H3K4me3Heart_19057	Dnd1 (+998)
H3K4me3Heart_19063	Pcdhb1 (+51)
H3K4me3Heart_19076	Taf7 (-76285), Diaph1 (+214892)
H3K4me3Heart_19078	Taf7 (-86873), Diaph1 (+204304)
H3K4me3Heart_19088	Taf7 (-178222), Diaph1 (+112955)
H3K4me3Heart_19096	Fchsd1 (-25062), Arap3 (+2738)
H3K4me3Heart_19099	Arap3 (-98731), Pcdh1 (+113457)
H3K4me3Heart_19117	Fgf1 (+268)
H3K4me3Heart_19118	Arhgap26 (-64025), Fgf1 (-10349)
H3K4me3Heart_19137	Eif3j2 (-104362), Jakmip2 (+105615)
H3K4me3Heart_19140	Dcp2 (+118173), Mcc (+313509)
H3K4me3Heart_19156	Eif1a (+39165), Cdo1 (+91473)
H3K4me3Heart_19165	Dtwd2 (+43392)
H3K4me3Heart_19181	Prdm6 (+9034), Cep120 (+270973)
H3K4me3Heart_19188	Zfp608 (+507353), Csnk1g3 (+620714)
H3K4me3Heart_19191	Zfp608 (+78531)
H3K4me3Heart_19194	Zfp608 (-402)
H3K4me3Heart_19197	Zfp608 (-705133), Gramd3 (-705024)
H3K4me3Heart_19204	Lmnb1 (-24418), Tex43 (+95045)
H3K4me3Heart_19228	Camk2a (+38284), Slc6a7 (+50297)
H3K4me3Heart_19239	Il17b (-36229), Csnk1a1 (+96432)
H3K4me3Heart_19256	St8sia3 (-240348), Wdr7 (+305316)
H3K4me3Heart_19263	Nedd4l (-238613), Atp8b1 (-21523)
H3K4me3Heart_19265	Nedd4l (+102639), Alpk2 (+370113)
H3K4me3Heart_19267	Nedd4l (+162795), Alpk2 (+309957)
H3K4me3Heart_19268	Alpk2 (+44704), Nedd4l (+428048)
H3K4me3Heart_19269	Alpk2 (+2307), Nedd4l (+470445)
H3K4me3Heart_19270	Alpk2 (+99)
H3K4me3Heart_19277	Grp (-67130), Sec11c (+5141)
H3K4me3Heart_19288	Pmaip1 (+51893), Mc4r (+349975)
H3K4me3Heart_19298	Tubb6 (-20574), Cidea (+26579)
H3K4me3Heart_19308	Ldlrad4 (+125967), Fam210a (+241109)
H3K4me3Heart_19315	4930546C10Rik (-247039), Tcf4 (-146966)
H3K4me3Heart_19318	Ccdc68 (-525730), Tcf4 (+55590)
H3K4me3Heart_19320	Ccdc68 (-401789), Tcf4 (+179531)
H3K4me3Heart_19347	Myo5b (-147490), Cfap53 (+11957)
H3K4me3Heart_19361	Smad7 (+11008), Ctif (+319159)
H3K4me3Heart_19367	Smad2 (-90505), Zbtb7c (+330897)
H3K4me3Heart_19393	Setbp1 (+113267), Gm6133 (+646370)
H3K4me3Heart_19424	Zfp236 (-177495), Zfp516 (-40650)
H3K4me3Heart_19437	Cbln2 (+2222)
H3K4me3Heart_19444	Cpt1a (+148)
H3K4me3Heart_19458	Doc2g (+213)
H3K4me3Heart_19468	Carns1 (+63)
H3K4me3Heart_19476	Ankrd13d (-19044), Grk2 (+4043)
H3K4me3Heart_19534	Sipa1 (+2364), Rela (+23860)
H3K4me3Heart_19542	Scyl1 (+14145), Ltbp3 (+16352)
H3K4me3Heart_19545	Scyl1 (-32021), Frmd8 (+71852)
H3K4me3Heart_19552	Cdc42ep2 (-32847), Pola2 (+12364)
H3K4me3Heart_19572	Pygm (+615)
H3K4me3Heart_19577	Slc22a12 (+40378), Nrxn2 (+74704)
H3K4me3Heart_19580	Rps6ka4 (-7678), Ccdc88b (+9908)
H3K4me3Heart_19598	Macrod1 (+13674), Flrt1 (+35287)
H3K4me3Heart_19601	Flrt1 (-76934), Otub1 (+23653)
H3K4me3Heart_19654	Myrf (+15457), Tmem258 (+21277)
H3K4me3Heart_19677	Olfr1418 (-12833), Olfr1419 (+2471)
H3K4me3Heart_19679	Osbp (-737)
H3K4me3Heart_19688	Tle4 (+2256), Olfr1505 (+676785)
H3K4me3Heart_19692	Tle4 (-987476), Psat1 (+339600)
H3K4me3Heart_19701	Foxb2 (-958)
H3K4me3Heart_19714	Tmc1 (-222893), Zfand5 (-95183)
H3K4me3Heart_19723	Klf9 (-586460), Trpm3 (+415647)
H3K4me3Heart_19725	Klf9 (-236028), Trpm3 (+766079)
H3K4me3Heart_19736	Fam189a2 (-15892), Tjp2 (+178043)
H3K4me3Heart_19752	Dmrt1 (-196812), Kank1 (+71831)
H3K4me3Heart_19753	Dmrt1 (-161473), Kank1 (+107170)
H3K4me3Heart_19755	Dmrt1 (-120545), Kank1 (+148098)
H3K4me3Heart_19756	Dmrt1 (-119396), Kank1 (+149247)
H3K4me3Heart_19760	Dmrt3 (-34905), Dmrt1 (+70014)
H3K4me3Heart_19764	Dmrt2 (-6203), Dmrt3 (+55677)
H3K4me3Heart_19766	Gm815 (-278617), Smarca2 (+2193)
H3K4me3Heart_19773	Rfx3 (-154918), Glis3 (+514019)
H3K4me3Heart_19774	Rfx3 (-651352), Glis3 (+17585)
H3K4me3Heart_19784	Jak2 (+1997), Insl6 (+71531)
H3K4me3Heart_19798	Trpd52l3 (-63276), Il33 (+15400)
H3K4me3Heart_19830	Slc16a12 (-109054), Pank1 (+23112)
H3K4me3Heart_19835	Ankrd1 (+4479), Rpp30 (+31649)
H3K4me3Heart_19836	Ankrd1 (+345)
H3K4me3Heart_19837	Pcgf5 (-280241), Ankrd1 (-9663)
H3K4me3Heart_19841	Ppp1r3c (+2120), Hectd2 (+179865)
H3K4me3Heart_19861	Cyp26a1 (+116792), Myof (+228977)
H3K4me3Heart_19862	Myof (+165618), Cyp26a1 (+180151)
H3K4me3Heart_19875	Pdlim1 (-106176), Sorbs1 (+135987)
H3K4me3Heart_19889	Lcor (-1342)
H3K4me3Heart_19917	Got1 (+3931), Cnnm1 (+80238)
H3K4me3Heart_19922	Nkx2-3 (+4032), Slc25a28 (+58524)
H3K4me3Heart_19928	Dnmbp (+17907), Abcc2 (+112293)
H3K4me3Heart_19935	Scd2 (-47192), Scd3 (+43212)
H3K4me3Heart_19947	Pax2 (-85911), Hif1an (+108625)
H3K4me3Heart_19948	Pax2 (-73174), Hif1an (+121362)
H3K4me3Heart_19952	Pax2 (-15581), Hif1an (+178955)
H3K4me3Heart_19961	Lzts2 (+15713), Pdzd7 (+15725)
H3K4me3Heart_19966	Tlx1 (-5722), Kazald1 (+68273)
H3K4me3Heart_19970	Lbx1 (+11828), Tlx1 (+74747)
H3K4me3Heart_19971	Lbx1 (+6204), Tlx1 (+80371)
H3K4me3Heart_19973	Btrc (-80370), Lbx1 (-47553)
H3K4me3Heart_19978	Poll (+52713), Btrc (+144084)
H3K4me3Heart_19986	Fgf8 (-2767)
H3K4me3Heart_20009	Trim8 (+295)
H3K4me3Heart_20026	Neurl1a (+50096), Sh3pxd2a (+235495)
H3K4me3Heart_20030	Neurl1a (+141495), Sh3pxd2a (+144096)
H3K4me3Heart_20034	Sh3pxd2a (-21839), Stn1 (+50770)
H3K4me3Heart_20038	Sfr1 (+24023), Cfap43 (+81603)
H3K4me3Heart_20045	Sorcs3 (-258917), Cfap58 (+9396)
H3K4me3Heart_20047	Sorcs3 (+193960)
H3K4me3Heart_20052	Add3 (-52905), Xpnpep1 (-48907)
H3K4me3Heart_20053	Xpnpep1 (-67121), Add3 (-34691)
H3K4me3Heart_20063	Rbm20 (-23181), Smc3 (+53727)
H3K4me3Heart_20064	Rbm20 (-16196), Smc3 (+60712)
H3K4me3Heart_20065	Rbm20 (-14983), Smc3 (+61925)
H3K4me3Heart_20067	Pdcd4 (-212790), Rbm20 (+2135)
H3K4me3Heart_20068	Pdcd4 (-210441), Rbm20 (+4484)
H3K4me3Heart_20069	Pdcd4 (-193836), Rbm20 (+21089)
H3K4me3Heart_20071	Pdcd4 (-98771), Rbm20 (+116154)
H3K4me3Heart_20083	Tcf7l2 (-185509), Vti1a (+240025)
H3K4me3Heart_20086	Habp2 (-538414), Tcf7l2 (+6839)
H3K4me3Heart_20088	Nrap (+120)
H3K4me3Heart_20090	Plekhs1 (+13316), Dclre1a (+73073)
H3K4me3Heart_20093	Adrb1 (+3029), Ccdc186 (+96789)
H3K4me3Heart_20094	Adrb1 (+5012), Ccdc186 (+94806)
H3K4me3Heart_20096	Ccdc186 (+45102), Adrb1 (+54716)
H3K4me3Heart_20098	Ccdc186 (-4117), Tdrd1 (+98)
H3K4me3Heart_20112	Hspa12a (-57892), Eno4 (-24549)
H3K4me3Heart_1210	Frmd4a (-101933), Fam107b (+589358)
H3K4me3Heart_1212	Frmd4a (-11373), Fam107b (+679918)
H3K4me3Heart_1218	Phyh (-1153)
H3K4me3Heart_1222	Ccdc3 (-57267), Optn (-16571)
H3K4me3Heart_1238	Gata3 (+3624)
H3K4me3Heart_1239	4930412O13Rik (-3788), Gata3 (+1136)
H3K4me3Heart_1242	9230102O04Rik (-12330), Taf3 (+152273)
H3K4me3Heart_1249	Prkcq (-71946), Sfmbt2 (+727986)
H3K4me3Heart_1266	Vim (+4559), St8sia6 (+215297)
H3K4me3Heart_1276	Nebl (+5913)
H3K4me3Heart_1277	Nebl (+3888)
H3K4me3Heart_1278	Nebl (+2243)
H3K4me3Heart_1292	Commd3 (-218411), Dnajc1 (-61182)
H3K4me3Heart_1301	Spag6 (-312)
H3K4me3Heart_1309	Ptf1a (-14677), Msrb2 (+59350)
H3K4me3Heart_1311	Ptf1a (+2685), 4921504E06Rik (+105566)
H3K4me3Heart_1313	Otud1 (+826)
H3K4me3Heart_1323	Myo3a (-317866), Gpr158 (+542095)
H3K4me3Heart_1362	Lrrc26 (+2291), Grin1 (+26914)
H3K4me3Heart_1389	Ccdc187 (-3901)
H3K4me3Heart_1440	Gm13547 (-117661), Rapgef1 (+24147)
H3K4me3Heart_1472	Cstad (+5522), 1700001O22Rik (+201145)
H3K4me3Heart_1473	Cstad (+10355), 1700001O22Rik (+196312)
H3K4me3Heart_1475	Cstad (+57571), 1700001O22Rik (+149096)
H3K4me3Heart_1482	1700001O22Rik (+75812), Cstad (+130855)
H3K4me3Heart_1496	Usp20 (+14367), Fnbp1 (+145209)
H3K4me3Heart_1500	Ncs1 (-35574), Gpr107 (+57933)
H3K4me3Heart_1505	Hmcn2 (+117)
H3K4me3Heart_1519	Fam78a (-4932)
H3K4me3Heart_1523	Pomt1 (-68788), Prrc2b (+16720)
H3K4me3Heart_1543	St6galnac6 (-19380), St6galnac4 (+1989)
H3K4me3Heart_1570	Lmx1b (-561)
H3K4me3Heart_1591	Phf19 (-31070), Traf1 (+13088)
H3K4me3Heart_1597	Rab14 (-58863), Gsn (-22397)
H3K4me3Heart_1600	4930402F06Rik (-35033), Ggta1 (+29241)
H3K4me3Heart_1607	Dab2ip (+70400), Ttll11 (+287187)
H3K4me3Heart_1625	Strbp (-88416), Crb2 (-40548)
H3K4me3Heart_1626	Strbp (-111251), Crb2 (-17713)
H3K4me3Heart_1634	Nek6 (-154640), Lhx2 (+6244)
H3K4me3Heart_1635	Nek6 (-142766), Lhx2 (+18118)
H3K4me3Heart_1636	Nek6 (-132337), Lhx2 (+28547)
H3K4me3Heart_1669	Lypd6b (-53446), Kif5c (+114944)
H3K4me3Heart_1673	Mmadhc (-674637), Rnd3 (+177757)
H3K4me3Heart_1678	Nmi (-43611), Tnfaip6 (-21174)
H3K4me3Heart_1681	Neb (-28410), Arl5a (+57693)
H3K4me3Heart_1682	Neb (-84081), Arl5a (+2022)
H3K4me3Heart_1684	Arl5a (-52837), Cacnb4 (+199092)
H3K4me3Heart_1705	Acvr1c (-158235), Acvr1 (+50696)
H3K4me3Heart_1708	Dapl1 (-46328), Pkp4 (+277475)
H3K4me3Heart_1712	Wdsub1 (-70116), Baz2b (+53487)
H3K4me3Heart_1718	Ly75 (-132822), Pla2r1 (+37183)
H3K4me3Heart_1720	Itgb6 (-48856), Rbms1 (+240625)
H3K4me3Heart_1722	Itgb6 (-266879), Rbms1 (+22602)
H3K4me3Heart_1738	Kcnh7 (-891621), Fign (+22113)
H3K4me3Heart_1741	Grb14 (-158474), Cobll1 (+57370)
H3K4me3Heart_1754	Scn7a (+22)
H3K4me3Heart_1757	Stk39 (+35834), B3galt1 (+331763)
H3K4me3Heart_1764	Lrp2 (-1153)
H3K4me3Heart_1775	Myo3b (-12482), Ubr3 (+186570)
H3K4me3Heart_1786	Tlk1 (-75858), Mettl8 (+153997)
H3K4me3Heart_1787	Tlk1 (-163851), Mettl8 (+66004)
H3K4me3Heart_1790	Dync1i2 (-51432), Cybrd1 (+42351)
H3K4me3Heart_1801	Pdk1 (-83925), Itga6 (+2321)
H3K4me3Heart_1805	Map3k20 (-30395), Rapgef4 (+273955)
H3K4me3Heart_1807	Cdca7 (-188794), Map3k20 (+1728)
H3K4me3Heart_1810	Cdca7 (+31967), Sp3 (+472320)
H3K4me3Heart_1812	Sp3 (+239197), Cdca7 (+265090)
H3K4me3Heart_1814	Gm11084 (-17438), Ola1 (+210293)
H3K4me3Heart_1818	Sp9 (+71)
H3K4me3Heart_1830	Chrna1 (-16544), Chn1 (+178464)
H3K4me3Heart_1831	Chrna1 (-79745), Chn1 (+115263)
H3K4me3Heart_1840	Hoxd10 (-18043), Hoxd11 (-8952), Hoxd12 (-1882)
H3K4me3Heart_1844	Hoxd1 (-46864), Hoxd3 (+4187)
H3K4me3Heart_1851	Hnrnpa3 (-572079), Mtx2 (+261379)
H3K4me3Heart_1862	Ttc30b (-21562), Ttc30a2 (+18176)
H3K4me3Heart_1869	Prkra (+107926), Osbpl6 (+133531)
H3K4me3Heart_1873	Plekha3 (+131845), Ttn (+175329)
H3K4me3Heart_1874	Ttn (+1734), Plekha3 (+305440)
H3K4me3Heart_1875	Ttn (+49)
H3K4me3Heart_1877	Ccdc141 (-1231)
H3K4me3Heart_1884	Ube2e3 (-821899), Cwc22 (-102873)
H3K4me3Heart_1887	Itga4 (-168074), Ube2e3 (+218379)
H3K4me3Heart_1907	Tfpi (-82189), Ctnnd1 (+93207)
H3K4me3Heart_1908	Tfpi (-160019), Ctnnd1 (+15377)
H3K4me3Heart_1916	Ypel4 (+4564), Serping1 (+36782)
H3K4me3Heart_1944	Rapsn (-70243), Celf1 (+24855)
H3K4me3Heart_1945	Rapsn (+97)
H3K4me3Heart_1950	Mybpc3 (+1118), Madd (+63586)
H3K4me3Heart_1967	Dgkz (-6735), Creb3l1 (+67340)
H3K4me3Heart_1992	Tspan18 (+23920), Trp53i11 (+123019)
H3K4me3Heart_1999	Alx4 (+53759), Ext2 (+126425)
H3K4me3Heart_2010	Hsd17b12 (-105757), Ttc17 (+142968)
H3K4me3Heart_2025	Commd9 (+116496), Ldlrad3 (+183636)
H3K4me3Heart_2035	Abtb2 (+2924), Nat10 (+192036)
H3K4me3Heart_2036	Abtb2 (+37376), Nat10 (+157584)
H3K4me3Heart_2045	D430041D05Rik (-234174), Hipk3 (+2872)
H3K4me3Heart_2047	Hipk3 (-78495), Cstf3 (-17582)
H3K4me3Heart_2054	Wt1 (-3495)
H3K4me3Heart_2056	Them7 (-91855), Wt1 (+5936)
H3K4me3Heart_2057	Them7 (-60979), Wt1 (+36812)
H3K4me3Heart_2064	Pax6 (+19418), Elp4 (+216250)
H3K4me3Heart_2068	Dnajc24 (-428033), Mpped2 (-261687)
H3K4me3Heart_2070	Dnajc24 (-679877), Mpped2 (-9843)
H3K4me3Heart_2094	Fmn1 (+36934), Grem1 (+393930)
H3K4me3Heart_2101	Actc1 (-4687)
H3K4me3Heart_2112	Meis2 (+15143), BC052040 (+468188)
H3K4me3Heart_2113	Meis2 (+8008), BC052040 (+475323)
H3K4me3Heart_2114	Meis2 (+6305), BC052040 (+477026)
H3K4me3Heart_2142	Knstrn (-23007), Disp2 (+11274)
H3K4me3Heart_2164	Chac1 (-18754), Dll4 (+6691)
H3K4me3Heart_2183	Sptbn5 (-95546), Ehd4 (+1563)
H3K4me3Heart_2188	Zfp106 (+24286), Capn3 (+75942)
H3K4me3Heart_2213	Wdr76 (+40016), Frmd5 (+257223)
H3K4me3Heart_2214	Wdr76 (+41290), Frmd5 (+255949)
H3K4me3Heart_2271	Gpat2 (-54165), Adra2b (+7748)
H3K4me3Heart_2300	Sirpa (+34430), Pdyn (+71848)
H3K4me3Heart_2303	Tgm3 (-64299), Stk35 (+147533)
H3K4me3Heart_2341	Prnd (+889)
H3K4me3Heart_2344	Prnd (+30163), Rassf2 (+48976)
H3K4me3Heart_2363	Plcb4 (-302020), Plcb1 (+653651)
H3K4me3Heart_2364	Plcb4 (-205279), Plcb1 (+750392)
H3K4me3Heart_2372	Btbd3 (-921162), Jag1 (-240687)
H3K4me3Heart_2382	Kif16b (+843053)
H3K4me3Heart_2411	Ralgapa2 (-298939), Kiz (-44921)
H3K4me3Heart_2427	Thbd (-31039), Cd93 (+4336)
H3K4me3Heart_2486	Cox4i2 (+10587), Bcl2l1 (+66968)
H3K4me3Heart_2489	Foxs1 (+1304), Mylk2 (+20552)
H3K4me3Heart_2526	a (-70361), Eif2s2 (-50235)
H3K4me3Heart_2540	Myh7b (+278)
H3K4me3Heart_2566	Tgif2 (-62477), Myl9 (+2180)
H3K4me3Heart_2571	Dsn1 (-51575), Soga1 (+20604)
H3K4me3Heart_2583	Vstm2l (+26687), Tti1 (+87093)
H3K4me3Heart_2587	Tgm2 (+2827), Rprd1b (+114888)
H3K4me3Heart_2612	Ptprt (+2139)
H3K4me3Heart_2620	Tox2 (+60077), Jph2 (+112509)
H3K4me3Heart_2633	Ywhab (-55363), Rims4 (-20914)
H3K4me3Heart_2662	1700025C18Rik (-124826), Cdh22 (+19277)
H3K4me3Heart_2671	Zmynd8 (+26656), Eya2 (+202725)
H3K4me3Heart_2678	Sulf2 (+74724), Ncoa3 (+88302)
H3K4me3Heart_2680	Sulf2 (-248029), Prex1 (+310140)
H3K4me3Heart_2688	Znfx1 (+437)
H3K4me3Heart_2690	Znfx1 (-66523), Kcnb1 (+59261)
H3K4me3Heart_2691	Kcnb1 (+46)
H3K4me3Heart_2700	Ube2v1 (+34624), Snai1 (+59276)
H3K4me3Heart_2711	Pard6b (+1973), Adnp (+124135)
H3K4me3Heart_2712	Pard6b (+25906), Adnp (+100202)
H3K4me3Heart_2724	Nfatc2 (-104434), Atp9a (+39645)
H3K4me3Heart_2725	Nfatc2 (-122593), Atp9a (+21486)
H3K4me3Heart_2731	Zfp64 (-249307), Gm11011 (+383166)
H3K4me3Heart_2758	Tfap2c (-71929), Fam209 (+5144)
H3K4me3Heart_2759	Tfap2c (+71)
H3K4me3Heart_2768	Ctcfl (+31717), Rbm38 (+67310)
H3K4me3Heart_2769	Pck1 (+18525), Zbp1 (+47350)
H3K4me3Heart_2772	1700021F07Rik (-215266), Pmepa1 (-30787)
H3K4me3Heart_2773	1700021F07Rik (-182251), Pmepa1 (-63802)
H3K4me3Heart_2801	Cdh4 (+220256), Taf4 (+313959)
H3K4me3Heart_2815	Slco4a1 (-68198), Gata5 (-58082)
H3K4me3Heart_2825	Bhlhe23 (-116187), Ythdf1 (+27862)
H3K4me3Heart_2848	Tcea2 (-4493), Sox18 (-4177)
H3K4me3Heart_2855	Zfhx4 (-8071)
H3K4me3Heart_2880	Zfp704 (-142319), Pag1 (+81275)
H3K4me3Heart_2884	Fabp9 (-8903), Fabp4 (+2451)
H3K4me3Heart_2885;H3K4me3Heart_2886	Fabp4 (+570)
H3K4me3Heart_2904	Bhlhe22 (-2591)
H3K4me3Heart_2912	Trim55 (+191)
H3K4me3Heart_2914	Cp (-250205), Crh (-11453)
H3K4me3Heart_2922	Tbl1xr1 (+1762)
H3K4me3Heart_2931	Fndc3b (-129807), Tmem212 (+56122)
H3K4me3Heart_2966	Actl6a (-49525), Gnb4 (-42436)
H3K4me3Heart_2973	Ccdc39 (-112007), Fxr1 (-63771)
H3K4me3Heart_2974	Ccdc39 (-145353), Fxr1 (-30425)
H3K4me3Heart_2991	Exosc9 (-70532), 1810062G17Rik (+5939)
H3K4me3Heart_3005	Spata5 (-671), Nudt6 (+371)
H3K4me3Heart_3015	Gm5148 (-633762), Ankrd50 (+124919)
H3K4me3Heart_3022	Intu (-17766)
H3K4me3Heart_3025	Slc25a31 (-26352), Intu (+46736)
H3K4me3Heart_3036	Pcdh10 (-253)
H3K4me3Heart_3039	Pcdh18 (-108987), Slc7a11 (+577310)
H3K4me3Heart_3043	Slc7a11 (-752259), Noct (-28575)
H3K4me3Heart_3056	Setd7 (-87473), Mgst2 (-12828)
H3K4me3Heart_3065	Maml3 (+16208), Mgst2 (+427504)
H3K4me3Heart_3069	Maml3 (-93393), Foxo1 (-70053)
H3K4me3Heart_3076	Lhfp (+22172), Nhlrc3 (+399591)
H3K4me3Heart_3084	Supt20 (-330510), Postn (+1452)
H3K4me3Heart_3127	Plch1 (+241198), Mme (+313921)
H3K4me3Heart_3136	Ssr3 (-102212), Tiparp (-33575)
H3K4me3Heart_3141	Ccnl1 (+94598), Lekr1 (+197423)
H3K4me3Heart_3149	Veph1 (-682196), Shox2 (+2738)
H3K4me3Heart_3157	Schip1 (-9620), Iqcj (+163102)
H3K4me3Heart_3159	Il12a (-237227), Schip1 (+388475)
H3K4me3Heart_3164;H3K4me3Heart_3165	Il12a (-106773), Schip1 (+518929)
H3K4me3Heart_3174	B3galnt1 (+10416), Ppm1l (+271584)
H3K4me3Heart_3187	Rapgef2 (+225407)
H3K4me3Heart_3189	Rapgef2 (+73181)
H3K4me3Heart_3191	Rapgef2 (-34821), Fnip2 (+387998)
