# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
Fgl2	H3K4me3Heart_5299 (-42175), H3K4me3Heart_5301 (+2235)
Fgr	H3K4me3Heart_4828 (-23888)
Fhl2	H3K4me3Heart_195 (-32551), H3K4me3Heart_192;H3K4me3Heart_193;H3K4me3Heart_194 (-28836)
Fign	H3K4me3Heart_1738 (+22113)
Fignl1	H3K4me3Heart_12468 (-79837), H3K4me3Heart_12467 (-78232)
Filip1	H3K4me3Heart_10843 (+2440)
Filip1l	H3K4me3Heart_17691 (-38), H3K4me3Heart_17692 (+10049), H3K4me3Heart_17694 (+197794)
Fip1l1	H3K4me3Heart_5687 (+78347)
Fkbp5	H3K4me3Heart_18191 (-24760)
Fkbp6	H3K4me3Heart_6302 (+75146)
Fkrp	H3K4me3Heart_7731 (+21521)
Fli1	H3K4me3Heart_10327 (-104956), H3K4me3Heart_10325 (-3957)
Flrt1	H3K4me3Heart_19601 (-76934), H3K4me3Heart_19598 (+35287)
Flt1	H3K4me3Heart_6508 (-99736), H3K4me3Heart_6506 (-27137), H3K4me3Heart_6502 (+67984), H3K4me3Heart_6501 (+102090), H3K4me3Heart_6500 (+105528)
Fmn1	H3K4me3Heart_2094 (+36934)
Fmo5	H3K4me3Heart_3493 (+22865)
Fn1	H3K4me3Heart_340 (-529982)
Fnbp1	H3K4me3Heart_1496 (+145209)
Fndc3b	H3K4me3Heart_2931 (-129807)
Fndc7	H3K4me3Heart_3623 (-19321)
Fnip2	H3K4me3Heart_3191 (+387998)
Fos	H3K4me3Heart_14502 (-37918), H3K4me3Heart_14506 (+98339)
Foxb2	H3K4me3Heart_19701 (-958)
Foxc1	H3K4me3Heart_14998 (+427705)
Foxc2	H3K4me3Heart_10044 (+12299)
Foxd3	H3K4me3Heart_4398 (-29990)
Foxe1	H3K4me3Heart_4174 (-596)
Foxf1	H3K4me3Heart_10037 (-252113)
Foxj1	H3K4me3Heart_13850 (-52043)
Foxn2	H3K4me3Heart_18826 (-35476), H3K4me3Heart_18828 (+68335)
Foxn3	H3K4me3Heart_14573 (-176542), H3K4me3Heart_14569 (+37596)
Foxn4	H3K4me3Heart_5984 (+99748)
Foxo1	H3K4me3Heart_3069 (-70053)
Foxo3	H3K4me3Heart_11516 (+245366)
Foxp1	H3K4me3Heart_7201 (-322179), H3K4me3Heart_7199 (-43106)
Foxp4	H3K4me3Heart_18515 (-49756), H3K4me3Heart_18511 (+59968)
Foxs1	H3K4me3Heart_2489 (+1304)
Frmd4a	H3K4me3Heart_1210 (-101933), H3K4me3Heart_1212 (-11373)
Frmd4b	H3K4me3Heart_7190 (+158334), H3K4me3Heart_7189 (+160336)
Frmd5	H3K4me3Heart_2214 (+255949), H3K4me3Heart_2213 (+257223)
Frmd6	H3K4me3Heart_14328 (-41530)
Frmd8	H3K4me3Heart_19545 (+71852)
Frs2	H3K4me3Heart_12186 (+1827)
Fry	H3K4me3Heart_6545 (-179234), H3K4me3Heart_6550 (+35635)
Fryl	H3K4me3Heart_5669 (+88127)
Fsd2	H3K4me3Heart_8426 (+1037)
Ftcd	H3K4me3Heart_11777 (+8833)
Fto	H3K4me3Heart_9762 (+433876)
Fxr1	H3K4me3Heart_2973 (-63771), H3K4me3Heart_2974 (-30425)
Fzd1	H3K4me3Heart_5257 (-503194)
Fzd5	H3K4me3Heart_316 (-983), H3K4me3Heart_314 (+46223)
Fzd9	H3K4me3Heart_6302 (-23615)
G2e3	H3K4me3Heart_14217 (-289512)
G430095P16Rik	H3K4me3Heart_9675 (+19976)
Gab1	H3K4me3Heart_9614 (-131783), H3K4me3Heart_9611 (+50114)
Gab2	H3K4me3Heart_8495 (-95850)
Gabpb2	H3K4me3Heart_3404 (+44234)
Gadl1	H3K4me3Heart_11178 (-517590), H3K4me3Heart_11179 (-73)
Galm	H3K4me3Heart_18738 (+20643)
Galnt15	H3K4me3Heart_15826 (-137285), H3K4me3Heart_15828 (-154)
Galnt4	H3K4me3Heart_12106 (+8112)
Galnt7	H3K4me3Heart_9404 (+122269)
Gap43	H3K4me3Heart_17627 (-535615)
Gar1	H3K4me3Heart_3743 (-4690)
Gata3	H3K4me3Heart_1239 (+1136), H3K4me3Heart_1238 (+3624)
Gata4	H3K4me3Heart_16116 (-126445), H3K4me3Heart_16115 (-122938), H3K4me3Heart_16112 (-19408), H3K4me3Heart_16111 (-17783), H3K4me3Heart_16109 (-4609), H3K4me3Heart_16107 (+8256), H3K4me3Heart_16106 (+12635)
Gata5	H3K4me3Heart_2815 (-58082)
Gata6	H3K4me3Heart_18886 (-266025), H3K4me3Heart_18887 (-264961), H3K4me3Heart_18888 (+2514)
Gbp2	H3K4me3Heart_3824 (+67624)
Gbx2	H3K4me3Heart_507 (-59018), H3K4me3Heart_503 (+4234), H3K4me3Heart_501 (+10420), H3K4me3Heart_500 (+182315), H3K4me3Heart_499 (+276275)
Gc	H3K4me3Heart_5747 (+528131)
Gcat	H3K4me3Heart_16799 (-5006)
Gcc2	H3K4me3Heart_11607 (+69520)
Gch1	H3K4me3Heart_15899 (+247170)
Gcnt2	H3K4me3Heart_15063 (-33927)
Gdf11	H3K4me3Heart_12360 (+2599)
Gdf6	H3K4me3Heart_3956 (-12982)
Gdnf	H3K4me3Heart_16413 (+123361)
Gdpd2	H3K4me3Heart_20529 (+11288)
Gen1	H3K4me3Heart_14050 (+40955)
Gga2	H3K4me3Heart_8734 (-25437)
Ggnbp1	H3K4me3Heart_18155 (+3636)
Ggt5	H3K4me3Heart_11754 (+353)
Ggta1	H3K4me3Heart_1600 (+29241)
Gimap5	H3K4me3Heart_6823 (+145)
Gin1	H3K4me3Heart_564 (-9473), H3K4me3Heart_565 (-2757)
Gins2	H3K4me3Heart_10032 (+33215), H3K4me3Heart_10030 (+79925)
Gins3	H3K4me3Heart_9819 (-33634)
Gipr	H3K4me3Heart_7771;H3K4me3Heart_7772 (+476)
Gja1	H3K4me3Heart_11596 (-6621), H3K4me3Heart_11597 (-4642)
Gja10	H3K4me3Heart_4041 (+115644), H3K4me3Heart_4040 (+171766), H3K4me3Heart_4039 (+299064)
Gja4	H3K4me3Heart_4720 (+62070)
Gja5	H3K4me3Heart_3485 (+44119)
Gjc1	H3K4me3Heart_13646 (+3141)
Gjc2	H3K4me3Heart_12820 (+6484)
Glcci1	H3K4me3Heart_6601 (+2647)
Gli2	H3K4me3Heart_595 (+71660)
Gli3	H3K4me3Heart_14817 (-37134)
Glis3	H3K4me3Heart_19774 (+17585), H3K4me3Heart_19773 (+514019)
Glp1r	H3K4me3Heart_18234 (-27079)
Glrx5	H3K4me3Heart_14623 (-19311)
Glt28d2	H3K4me3Heart_3246 (-106286)
Glt8d2	H3K4me3Heart_11971 (+23794)
Glud1	H3K4me3Heart_15850 (+1801)
Gm10076	H3K4me3Heart_16320 (-115592), H3K4me3Heart_16321 (-92207)
Gm10118	H3K4me3Heart_11689 (+40678), H3K4me3Heart_11688 (+469738)
Gm10139	H3K4me3Heart_15321 (-200864)
Gm10295	H3K4me3Heart_8324 (+632967)
Gm10309	H3K4me3Heart_18798 (-31194), H3K4me3Heart_18797 (+67354), H3K4me3Heart_18796 (+319250)
Gm11011	H3K4me3Heart_2731 (+383166)
Gm11032	H3K4me3Heart_12400 (+196)
Gm11077	H3K4me3Heart_7524 (-62456)
Gm11084	H3K4me3Heart_1814 (-17438)
Gm11114	H3K4me3Heart_10862 (-222229)
Gm11146	H3K4me3Heart_17739 (+270961)
Gm12166	H3K4me3Heart_12662 (-4)
Gm12353	H3K4me3Heart_4001 (-28871)
Gm12689	H3K4me3Heart_4398 (+330409)
Gm128	H3K4me3Heart_3408 (+596)
Gm13090	H3K4me3Heart_5144 (+8089), H3K4me3Heart_5145 (+15028)
Gm13547	H3K4me3Heart_1440 (-117661)
Gm15319	H3K4me3Heart_9142 (+423339)
Gm15737	H3K4me3Heart_7163 (-41598), H3K4me3Heart_7164 (+40345)
Gm17657	H3K4me3Heart_18221 (+16370)
Gm2016	H3K4me3Heart_14546 (-80129)
Gm20425	H3K4me3Heart_10989 (+22161)
Gm45837	H3K4me3Heart_8569 (-72578)
Gm4861	H3K4me3Heart_3797 (+209881)
Gm4907	H3K4me3Heart_20269 (-20943)
Gm5105	H3K4me3Heart_3806 (-2992)
Gm5148	H3K4me3Heart_3015 (-633762)
Gm572	H3K4me3Heart_5091 (+13834), H3K4me3Heart_5092 (+24035), H3K4me3Heart_5095 (+103401)
Gm5724	H3K4me3Heart_7528 (+19887)
Gm5878	H3K4me3Heart_7049 (+94)
Gm6133	H3K4me3Heart_19393 (+646370)
Gm6576	H3K4me3Heart_16472 (+380626)
Gm694	H3K4me3Heart_5030 (+14035)
Gm765	H3K4me3Heart_7194 (+412659)
Gm815	H3K4me3Heart_19766 (-278617)
Gm8267	H3K4me3Heart_15875 (-119111)
Gm8439	H3K4me3Heart_4608;H3K4me3Heart_4609 (+24503)
Gm8973	H3K4me3Heart_17092 (-22396)
Gm9376	H3K4me3Heart_16342 (+118513), H3K4me3Heart_16347 (+327407)
Gm9857	H3K4me3Heart_3626 (-85426)
Gm9881	H3K4me3Heart_17797 (+1254)
Gm9887	H3K4me3Heart_14311 (-202081), H3K4me3Heart_14309 (-130175)
Gmds	H3K4me3Heart_14998 (+104263)
Gmpr	H3K4me3Heart_15101 (+54874)
Gnb4	H3K4me3Heart_2966 (-42436)
Gng11	H3K4me3Heart_6568 (+2751)
Gng2	H3K4me3Heart_15722 (-57673)
Gnl2	H3K4me3Heart_4677 (-39719)
Golga7	H3K4me3Heart_9175 (-131066)
Golm1	H3K4me3Heart_15271 (-12701)
Gosr1	H3K4me3Heart_13129 (+63415)
Gosr2	H3K4me3Heart_13677 (-23887)
Got1	H3K4me3Heart_19917 (+3931)
Gpat2	H3K4me3Heart_2271 (-54165)
Gpat3	H3K4me3Heart_5834 (+692975)
Gpatch2	H3K4me3Heart_1139 (+695531)
Gpatch2l	H3K4me3Heart_14516 (-150020), H3K4me3Heart_14520 (+119640)
Gpbar1	H3K4me3Heart_364 (-38670)
Gpc5	H3K4me3Heart_16329 (-258214), H3K4me3Heart_16332 (-51182)
Gphb5	H3K4me3Heart_14377 (+105862)
Gpr107	H3K4me3Heart_1500 (+57933)
Gpr135	H3K4me3Heart_14339 (+236708)
Gpr146	H3K4me3Heart_6397 (+1606)
Gpr156	H3K4me3Heart_17601 (+78244)
Gpr158	H3K4me3Heart_1323 (+542095)
Gpr179	H3K4me3Heart_13449 (+12989)
Gpr182	H3K4me3Heart_12319 (-4379)
Gpr34	H3K4me3Heart_20234 (-162256)
Gpr84	H3K4me3Heart_17223 (-3559), H3K4me3Heart_17222 (+1668)
Gpx4	H3K4me3Heart_11852 (+21248)
Gramd3	H3K4me3Heart_19197 (-705024)
Grasp	H3K4me3Heart_17154 (+7581), H3K4me3Heart_17155 (+14872), H3K4me3Heart_17156 (+16872)
Grb10	H3K4me3Heart_12473 (-397752), H3K4me3Heart_12472 (-272249), H3K4me3Heart_12469 (+5687)
Grb14	H3K4me3Heart_1741 (-158474)
Grb2	H3K4me3Heart_13820 (+10181)
Grem1	H3K4me3Heart_2094 (+393930)
Grhl3	H3K4me3Heart_4914 (+28303)
Grhpr	H3K4me3Heart_4150 (-7573)
Gria2	H3K4me3Heart_3202 (+67)
Grin1	H3K4me3Heart_1362 (+26914)
Grin2a	H3K4me3Heart_17285 (+940113), H3K4me3Heart_17284 (+978519)
Grip1	H3K4me3Heart_12211 (-408295), H3K4me3Heart_12213 (-184926), H3K4me3Heart_12216 (+160184)
Grip2	H3K4me3Heart_7150 (+11315)
Grk2	H3K4me3Heart_19476 (+4043)
Grm7	H3K4me3Heart_7237 (+1796)
Grp	H3K4me3Heart_19277 (-67130)
Grsf1	H3K4me3Heart_5743 (-35954)
Gsap	H3K4me3Heart_5299 (+144200)
Gsc	H3K4me3Heart_14618 (-164506), H3K4me3Heart_14616 (+1674)
Gse1	H3K4me3Heart_10026 (-223942), H3K4me3Heart_10030 (+20513), H3K4me3Heart_10032 (+67223)
Gsg1l	H3K4me3Heart_8757 (+148671), H3K4me3Heart_8756 (+252569)
Gsk3b	H3K4me3Heart_17601 (-94261)
Gsn	H3K4me3Heart_1597 (-22397)
Gspt1	H3K4me3Heart_17305 (+1894)
Gsx1	H3K4me3Heart_6493 (-2507), H3K4me3Heart_6494 (-1378)
Gtf2a1	H3K4me3Heart_14553 (+37702)
Gtf2a1l	H3K4me3Heart_18832 (-39063), H3K4me3Heart_18834 (+84939)
Gtf2e2	H3K4me3Heart_9250 (+171267), H3K4me3Heart_9251 (+192048), H3K4me3Heart_9252 (+193257)
Gtf3c6	H3K4me3Heart_11493 (-1201)
Gtsf1	H3K4me3Heart_17228 (+46628)
Gucy1a3	H3K4me3Heart_3209 (+4776)
Gucy1b3	H3K4me3Heart_3209 (-66390)
Gucy2e	H3K4me3Heart_12970 (-29375), H3K4me3Heart_12969 (-8909)
Gulo	H3K4me3Heart_16145 (+38597)
Gxylt1	H3K4me3Heart_17006 (+640854)
H2-M5	H3K4me3Heart_18404 (+739)
H2-T3	H3K4me3Heart_18393 (-61985)
H2afy2	H3K4me3Heart_11656 (-152832)
H2al1j	H3K4me3Heart_20196 (-239697)
Habp2	H3K4me3Heart_20086 (-538414)
Hand1	H3K4me3Heart_12788 (-5165), H3K4me3Heart_12787 (+495)
Hand2	H3K4me3Heart_9388 (-700109), H3K4me3Heart_9393 (-3654), H3K4me3Heart_9397 (+27953)
Hapln1	H3K4me3Heart_15449 (+1825)
Has3	H3K4me3Heart_9901 (-151815)
Hcrtr1	H3K4me3Heart_4779 (-24272)
Hdac10	H3K4me3Heart_16970 (-8712)
Hdac4	H3K4me3Heart_533 (-31277)
Hdac9	H3K4me3Heart_14174 (+11836)
Heatr1	H3K4me3Heart_14798 (-25885)
Hectd2	H3K4me3Heart_19841 (+179865)
Hecw2	H3K4me3Heart_238 (+216594)
Helb	H3K4me3Heart_12216 (+133291)
Helz	H3K4me3Heart_13732 (-37393)
Herc3	H3K4me3Heart_6926;H3K4me3Heart_6927 (+29610)
Hes1	H3K4me3Heart_17499 (+55786), H3K4me3Heart_17500 (+80210)
Hey2	H3K4me3Heart_11451;H3K4me3Heart_11452 (+3690)
Hfe2	H3K4me3Heart_3463 (-61005)
Hhatl	H3K4me3Heart_11249 (+340)
Hibadh	H3K4me3Heart_6876 (+323691)
Hic1	H3K4me3Heart_13086 (+156352)
Hif1a	H3K4me3Heart_14364 (-60906), H3K4me3Heart_14366 (+2971), H3K4me3Heart_14367 (+39912)
Hif1an	H3K4me3Heart_19947 (+108625), H3K4me3Heart_19948 (+121362), H3K4me3Heart_19952 (+178955)
Hikeshi	H3K4me3Heart_8464 (-38082)
Hils1	H3K4me3Heart_13373 (+5523)
Hip1r	H3K4me3Heart_6187 (+37516), H3K4me3Heart_6188 (+41350), H3K4me3Heart_6189 (+54167), H3K4me3Heart_6190 (+56116)
Hipk3	H3K4me3Heart_2047 (-78495), H3K4me3Heart_2045 (+2872)
Hist1h4h	H3K4me3Heart_14921 (-14551)
Hk1	H3K4me3Heart_11661 (+3331)
Hlf	H3K4me3Heart_13335 (+138423)
Hlx	H3K4me3Heart_1111 (+13997), H3K4me3Heart_1110 (+56779)
Hmcn2	H3K4me3Heart_1505 (+117)
Hmg20a	H3K4me3Heart_10568 (+187798)
Hmga2	H3K4me3Heart_12234 (-419739), H3K4me3Heart_12232 (-400643), H3K4me3Heart_12231 (-396111), H3K4me3Heart_12230 (-284485), H3K4me3Heart_12226 (-218150), H3K4me3Heart_12223 (+99053), H3K4me3Heart_12221 (+242487)
Hmgb1	H3K4me3Heart_6526 (+32290)
Hmgb2	H3K4me3Heart_9404 (+18919)
Hmgcll1	H3K4me3Heart_10802 (-236971)
Hmgn1	H3K4me3Heart_17859 (+472)
Hnf1b	H3K4me3Heart_13235 (-802)
Hnrnpa1	H3K4me3Heart_17216 (+1938)
Hnrnpa2b1	H3K4me3Heart_6856 (-3446)
Hnrnpa3	H3K4me3Heart_1851 (-572079)
Hnrnpdl	H3K4me3Heart_5817 (+2426)
Hnrnpll	H3K4me3Heart_18734 (+7659), H3K4me3Heart_18733 (+43101)
Homer1	H3K4me3Heart_15474 (+189133)
Hopx	H3K4me3Heart_5722 (+149), H3K4me3Heart_5721 (+2655)
Hoxb2	H3K4me3Heart_13416 (-5590)
Hoxb3	H3K4me3Heart_13416 (+22716)
Hoxc9	H3K4me3Heart_17204 (+321)
Hoxd1	H3K4me3Heart_1844 (-46864)
Hoxd10	H3K4me3Heart_1840 (-18043)
Hoxd11	H3K4me3Heart_1840 (-8952)
Hoxd12	H3K4me3Heart_1840 (-1882)
Hoxd3	H3K4me3Heart_1844 (+4187)
Hpdl	H3K4me3Heart_4546 (-18729)
Hrh4	H3K4me3Heart_18909 (+780098)
Hs2st1	H3K4me3Heart_3833 (+8504)
Hs3st3a1	H3K4me3Heart_12914 (+521792)
Hs6st3	H3K4me3Heart_16358 (+122529)
Hsd17b11	H3K4me3Heart_5853 (+1727)
Hsd17b12	H3K4me3Heart_2010 (-105757)
Hsd17b13	H3K4me3Heart_5853 (-42828)
Hsfy2	H3K4me3Heart_254 (+748496)
Hspa12a	H3K4me3Heart_20112 (-57892)
Hspa9	H3K4me3Heart_19013 (-79812)
Hspb3	H3K4me3Heart_15647 (+406)
Hspb7	H3K4me3Heart_5030 (+1291)
Hspb8	H3K4me3Heart_6053 (-34239), H3K4me3Heart_6051 (-23734)
Hspb9	H3K4me3Heart_13549 (+22551)
Hspg2	H3K4me3Heart_4957 (+7986)
Htra4	H3K4me3Heart_9187 (-59456), H3K4me3Heart_9185 (+10985)
Hunk	H3K4me3Heart_17787 (+242873), H3K4me3Heart_17789 (+325987)
Hus1b	H3K4me3Heart_14985 (+197078)
Hyal5	H3K4me3Heart_6652 (+19077)
Iba57	H3K4me3Heart_12820 (-12990)
Ica1	H3K4me3Heart_6601 (+266237)
Icos	H3K4me3Heart_297 (+256066)
Id2	H3K4me3Heart_14113 (-4792)
Id4	H3K4me3Heart_15124 (-987981), H3K4me3Heart_15126 (-405631)
Ier5	H3K4me3Heart_824 (-10400), H3K4me3Heart_821 (+58957)
Ifi44l	H3K4me3Heart_3879 (+108)
Ifnk	H3K4me3Heart_4067 (-144995)
Ifrd1	H3K4me3Heart_14195 (-20850), H3K4me3Heart_14193 (+2752)
Ifrd2	H3K4me3Heart_11051 (+9227)
Ift43	H3K4me3Heart_14516 (+9307)
Igbp1b	H3K4me3Heart_7517 (-50568)
Igdcc3	H3K4me3Heart_10684 (-31689), H3K4me3Heart_10689 (+37651)
Igdcc4	H3K4me3Heart_10684 (+7979)
Igf1r	H3K4me3Heart_8301 (-155870)
Igf2	H3K4me3Heart_9001 (-4992), H3K4me3Heart_9000 (-3397), H3K4me3Heart_8999 (+46555)
Igf2r	H3K4me3Heart_17948 (+7687), H3K4me3Heart_17947 (+9807), H3K4me3Heart_17945 (+35117)
Igfbp2	H3K4me3Heart_353 (+2520)
Igfbp5	H3K4me3Heart_355 (-70272), H3K4me3Heart_353 (+47861)
Igfbp7	H3K4me3Heart_5731 (-172383)
Ighg2c	H3K4me3Heart_14736 (+100997)
Igsf1	H3K4me3Heart_20334 (+10421)
Igsf21	H3K4me3Heart_5002 (-334856)
Igsf3	H3K4me3Heart_3528 (+219092)
Igsf9	H3K4me3Heart_1009 (+8210)
Ihh	H3K4me3Heart_396 (-64600)
Ikbip	H3K4me3Heart_12041 (+39141)
Il12a	H3K4me3Heart_3159 (-237227), H3K4me3Heart_3164;H3K4me3Heart_3165 (-106773)
Il15	H3K4me3Heart_9618 (+546418)
Il17b	H3K4me3Heart_19239 (-36229)
Il17rc	H3K4me3Heart_7259 (+208)
Il17rd	H3K4me3Heart_15783 (+19756)
Il1r1	H3K4me3Heart_172 (+85)
Il31	H3K4me3Heart_6176 (+10982)
Il33	H3K4me3Heart_19798 (+15400)
Il6st	H3K4me3Heart_15631 (-34893)
Ilvbl	H3K4me3Heart_11812 (-86780)
Impg1	H3K4me3Heart_10847 (+178811)
Inhba	H3K4me3Heart_14822 (+9503)
Inpp4b	H3K4me3Heart_9618 (+141604)
Inpp5f	H3K4me3Heart_8850 (-80333)
Insl3	H3K4me3Heart_9556 (-9415)
Insl6	H3K4me3Heart_19784 (+71531)
Insrr	H3K4me3Heart_3261 (+7392)
Intu	H3K4me3Heart_3022 (-17766), H3K4me3Heart_3025 (+46736)
Invs	H3K4me3Heart_4199 (+127878)
Iqcj	H3K4me3Heart_3157 (+163102)
Iqgap3	H3K4me3Heart_3278 (+51724)
Iqsec1	H3K4me3Heart_7139 (-47258)
Irf2bp2	H3K4me3Heart_10141 (-67166), H3K4me3Heart_10139 (+5345)
Irf2bpl	H3K4me3Heart_14529 (+52608)
Irf4	H3K4me3Heart_14985 (+1455)
Irf8	H3K4me3Heart_10037 (+95915)
Irgm1	H3K4me3Heart_12681 (+1043), H3K4me3Heart_12680 (+15388)
Irs2	H3K4me3Heart_9089 (-27847), H3K4me3Heart_9086 (+61996), H3K4me3Heart_9084 (+644508)
Irx1	H3K4me3Heart_15368 (-328793), H3K4me3Heart_15366 (+504836)
Irx2	H3K4me3Heart_15368 (-336304)
Irx3	H3K4me3Heart_9768 (-190035), H3K4me3Heart_9767 (-165576), H3K4me3Heart_9766 (-71255), H3K4me3Heart_9762 (+54246)
Irx4	H3K4me3Heart_15373 (+8192)
Irx5	H3K4me3Heart_9766 (-484887), H3K4me3Heart_9767 (-390566), H3K4me3Heart_9768 (-366107), H3K4me3Heart_9769 (-4124)
Isg20	H3K4me3Heart_8365 (-1184)
Isl1	H3K4me3Heart_15660 (-396790), H3K4me3Heart_15657 (+12244)
Islr	H3K4me3Heart_10603 (-38291)
Islr2	H3K4me3Heart_10603 (+4917)
Itga4	H3K4me3Heart_1887 (-168074)
Itga5	H3K4me3Heart_17228 (-17079)
Itga6	H3K4me3Heart_1801 (+2321)
Itgb1bp2	H3K4me3Heart_20544 (+385)
Itgb3	H3K4me3Heart_13691 (-30412)
Itgb5	H3K4me3Heart_17565 (+62379)
Itgb6	H3K4me3Heart_1722 (-266879), H3K4me3Heart_1720 (-48856)
Itgbl1	H3K4me3Heart_16387 (+1439)
Itm2b	H3K4me3Heart_16218 (-30303)
Itpk1	H3K4me3Heart_14602 (-3513)
Itsn1	H3K4me3Heart_17811 (+156460)
Iyd	H3K4me3Heart_11301 (-171697), H3K4me3Heart_11300 (+178105)
Izumo2	H3K4me3Heart_8123 (-37590)
Jade2	H3K4me3Heart_12727 (+56604)
Jag1	H3K4me3Heart_2372 (-240687)
Jak2	H3K4me3Heart_19784 (+1997)
Jak3	H3K4me3Heart_9556 (+3255)
Jakmip2	H3K4me3Heart_19137 (+105615)
Jarid2	H3K4me3Heart_15092 (-501584), H3K4me3Heart_15093 (-148467)
Jazf1	H3K4me3Heart_6880 (-96157)
Jdp2	H3K4me3Heart_14506 (-27187)
Jhy	H3K4me3Heart_10386 (+86437)
Jmy	H3K4me3Heart_15474 (+2522)
Josd2	H3K4me3Heart_8113 (+6512), H3K4me3Heart_8114 (+11841), H3K4me3Heart_8115 (+14602)
Jph2	H3K4me3Heart_2620 (+112509)
Jph3	H3K4me3Heart_10052 (-64845)
Jsrp1	H3K4me3Heart_11898 (+3042), H3K4me3Heart_11897 (+4486)
Kalrn	H3K4me3Heart_17568 (+251291)
Kank1	H3K4me3Heart_19752 (+71831), H3K4me3Heart_19753 (+107170), H3K4me3Heart_19755 (+148098), H3K4me3Heart_19756 (+149247)
Kank2	H3K4me3Heart_10247 (-5800)
Kat2b	H3K4me3Heart_18545 (+2908)
Kat6a	H3K4me3Heart_9163 (-618)
Kat6b	H3K4me3Heart_15746 (-422257)
Katnal1	H3K4me3Heart_6526 (-92103)
Kazald1	H3K4me3Heart_19966 (+68273)
Kbtbd11	H3K4me3Heart_9132 (-14817)
Kbtbd2	H3K4me3Heart_6913 (+1827)
Kbtbd8	H3K4me3Heart_7175 (-387716)
Kcmf1	H3K4me3Heart_6992 (-220)
Kcna6	H3K4me3Heart_7423 (-52088)
Kcna7	H3K4me3Heart_8167 (-596)
Kcnb1	H3K4me3Heart_2691 (+46), H3K4me3Heart_2690 (+59261)
Kcnd2	H3K4me3Heart_6637 (+11238), H3K4me3Heart_6638 (+607789)
Kcnd3	H3K4me3Heart_3573 (-76606)
Kcne1	H3K4me3Heart_17819 (+660)
Kcng3	H3K4me3Heart_18772 (+17903), H3K4me3Heart_18771 (+67929)
Kcnh3	H3K4me3Heart_17104 (+24646)
Kcnh7	H3K4me3Heart_1738 (-891621)
Kcnj2	H3K4me3Heart_13764 (+2551)
Kcnj6	H3K4me3Heart_17849 (+275333)
Kcnk1	H3K4me3Heart_10130 (-31117)
Kcnk12	H3K4me3Heart_18820 (-28379)
Kcnk2	H3K4me3Heart_1149 (+329675)
Kcnmb1	H3K4me3Heart_12611 (+418)
Kcnq1	H3K4me3Heart_9012 (+352317)
Kcns3	H3K4me3Heart_14049 (-53477), H3K4me3Heart_14048 (-45383)
Kctd1	H3K4me3Heart_18914 (+48359)
Kctd10	H3K4me3Heart_5989 (+2677), H3K4me3Heart_5988 (+23544)
Kctd3	H3K4me3Heart_1149 (-5573)
Kdm1b	H3K4me3Heart_15118 (+60966)
Kdm6b	H3K4me3Heart_12979 (-38815)
Kdr	H3K4me3Heart_5698 (+243527)
Khdc3	H3K4me3Heart_10780 (-35144)
Khdrbs1	H3K4me3Heart_4765 (-53114), H3K4me3Heart_4764 (-29584)
Khdrbs3	H3K4me3Heart_16666 (+113430)
Kidins220	H3K4me3Heart_14109 (-10984)
Kif13a	H3K4me3Heart_15114 (+2568)
Kif16b	H3K4me3Heart_2382 (+843053)
Kif21a	H3K4me3Heart_16996 (-30830)
Kif21b	H3K4me3Heart_746 (+28140)
Kif26a	H3K4me3Heart_14710 (+344888)
Kif26b	H3K4me3Heart_1049 (-42126), H3K4me3Heart_1050 (+1415)
Kif2a	H3K4me3Heart_15594 (-578812)
Kif5c	H3K4me3Heart_1669 (+114944)
Kifc5b	H3K4me3Heart_18140 (-70414), H3K4me3Heart_18141 (-68692), H3K4me3Heart_18142 (-65967), H3K4me3Heart_18144 (-24120)
Kit	H3K4me3Heart_5698 (+159976)
Kiz	H3K4me3Heart_2411 (-44921)
Kl	H3K4me3Heart_6557 (+156006)
Klf16	H3K4me3Heart_11885 (-9936)
Klf3	H3K4me3Heart_5607 (+5287), H3K4me3Heart_5608 (+9028)
Klf6	H3K4me3Heart_14771 (-147003), H3K4me3Heart_14772 (-35226), H3K4me3Heart_14776 (+36436)
Klf7	H3K4me3Heart_311 (-181543)
Klf9	H3K4me3Heart_19723 (-586460), H3K4me3Heart_19725 (-236028)
Klhl21	H3K4me3Heart_5155 (+4893)
Klhl25	H3K4me3Heart_8353 (-234778), H3K4me3Heart_8354 (-233343)
Klhl3	H3K4me3Heart_15252 (+111732)
Klhl30	H3K4me3Heart_524 (+336)
Klhl31	H3K4me3Heart_10815 (+74)
Klhl32	H3K4me3Heart_4022 (+58429)
Klhl34	H3K4me3Heart_20751 (-116790)
Klhl38	H3K4me3Heart_16626 (+133)
Kmt2e	H3K4me3Heart_5315 (-182622)
Knstrn	H3K4me3Heart_2142 (-23007)
Krr1	H3K4me3Heart_12156 (-435399), H3K4me3Heart_12158 (-71300)
Ksr2	H3K4me3Heart_6065 (+132346)
Kyat3	H3K4me3Heart_3824 (-12854)
L3mbtl4	H3K4me3Heart_18655 (+831909)
Larp1	H3K4me3Heart_12788 (-171752), H3K4me3Heart_12791 (+84024)
